dataset,mix_id,mix_code,scm_primary_type,cement_kg_m3,binder_content_kg_m3,scm_replacement_pct,w_c_ratio,w_b_ratio,water_kg_m3,compressive_strength_28d_mpa,total_coarse_agg_kg_m3,total_fine_agg_kg_m3,total_agg_kg_m3,fine_to_coarse_ratio,binder_to_aggregate_ratio
DS1,6.0,DS1-1,GGBS,540.00,540.00,0.0,0.30,0.3,162.00,79.99,1040.00,676.00,1716.00,0.65,0.3146853146853147
DS1,7.0,DS1-2,GGBS,540.00,540.00,0.0,0.30,0.30,162.00,61.89,1055.00,676.00,1731.00,0.6407582938388625,0.3119584055459272
DS1,8.0,DS1-3,GGBS,332.50,475.00,30.0,0.69,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,9.0,DS1-4,GGBS,332.50,475.00,30.0,0.69,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,10.0,DS1-5,GGBS,198.60,331.00,40.0,0.97,0.58,192.00,,978.40,825.50,1803.90,0.8437244480784954,0.18349132435279117
DS2,7387.0,DS2-11,None,380,380,0.0,0.285,,108.300,102.48,0,0,0,,
DS2,7388.0,DS2-12,None,380,380,0.0,0.285,,108.300,104.28,0,0,0,,
DS2,7389.0,DS2-13,None,380,380,0.0,0.285,,108.300,104.8,0,0,0,,
DS2,7390.0,DS2-14,None,380,380,0.0,0.285,,108.300,103.1,0,0,0,,
DS2,7391.0,DS2-15,None,380,380,0.0,0.285,,108.300,96.84,0,0,0,,
DS2,7392.0,DS2-16,None,380,380,0.0,0.285,,108.300,108.51,0,0,0,,
DS2,7393.0,DS2-17,None,380,380,0.0,0.285,,108.300,100.78,0,0,0,,
DS2,7394.0,DS2-18,None,380,380,0.0,0.285,,108.300,91.23,0,0,0,,
DS2,7395.0,DS2-19,None,560,560,0.0,0.29,,162.40,70.5,0,0,0,,
DS2,7396.0,DS2-20,None,560,560,0.0,0.29,,162.40,70.2,0,0,0,,
DS2,7397.0,DS2-21,None,560,560,0.0,0.29,,162.40,70.8,0,0,0,,
DS2,7398.0,DS2-22,None,560,560,0.0,0.29,,162.40,70,0,0,0,,
DS2,7399.0,DS2-23,None,337,337,0.0,0.29,,97.73,39.3,0,0,0,,
DS3,4331.0,DS3-1,Fly Ash,280,280,0.0,,,180,22.45,832,1045,1877,1.2560096153846154,0.14917421417155036
DS3,4332.0,DS3-2,Fly Ash,280,280,0.0,,,180,21.64,831,1045,1876,1.2575210589651022,0.14925373134328357
DS3,4333.0,DS3-3,Fly Ash,280,280,0.0,,,180,19.45,831,1045,1876,1.2575210589651022,0.14925373134328357
DS3,4334.0,DS3-4,Fly Ash,280,280,0.0,,,180,14.09,831,1045,1876,1.2575210589651022,0.14925373134328357
DS3,4335.0,DS3-5,Fly Ash,330,330,0.0,,,191,27.36,788,998,1786,1.266497461928934,0.18477043673012317
DS3,4336.0,DS3-6,Fly Ash,330,330,0.0,,,191,27.36,764,998,1762,1.306282722513089,0.1872871736662883
DS3,4337.0,DS3-7,Fly Ash,330,330,0.0,,,191,25.55,739,996,1735,1.347767253044655,0.19020172910662825
DS3,4338.0,DS3-8,Fly Ash,330,330,0.0,,,191,25.09,715,996,1711,1.393006993006993,0.19286966686148452
DS3,4339.0,DS3-9,Fly Ash,330,330,0.0,,,191,27.36,788,998,1786,1.266497461928934,0.18477043673012317
DS3,4340.0,DS3-10,Fly Ash,330,330,0.0,,,191,26.36,768,1005,1773,1.30859375,0.18612521150592218
DS3,4341.0,DS3-11,Fly Ash,330,330,0.0,,,191,23.91,748,1005,1753,1.3435828877005347,0.18824871648602395
DS3,4342.0,DS3-12,Fly Ash,330,330,0.0,,,191,21.82,729,1005,1734,1.3786008230452675,0.1903114186851211
DS3,4343.0,DS3-13,Fly Ash,604,604,0.0,,,193.3,56.21,600,900,1500,1.5,0.4026666666666667
DS2,7400.0,DS2-24,None,400,400,0.0,0.29,,116.00,41.6,0,0,0,,
DS1,11.0,DS1-6,GGBS,266.00,380.00,30.0,0.86,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,12.0,DS1-7,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,13.0,DS1-8,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,36.45,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,14.0,DS1-9,GGBS,266.00,380.00,30.0,0.86,0.60,228.00,45.85,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,15.0,DS1-10,GGBS,475.00,475.00,0.0,0.48,0.48,228.00,39.29,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,16.0,DS1-11,GGBS,198.60,331.00,40.0,0.97,0.58,192.00,,978.40,825.50,1803.90,0.8437244480784954,0.18349132435279117
DS1,17.0,DS1-12,GGBS,198.60,331.00,40.0,0.97,0.58,192.00,28.02,978.40,825.50,1803.90,0.8437244480784954,0.18349132435279117
DS1,18.0,DS1-13,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,19.0,DS1-14,GGBS,190.00,380.00,50.0,1.20,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,20.0,DS1-15,GGBS,304.00,380.00,20.0,0.75,0.60,228.00,47.81,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,21.0,DS1-16,GGBS,380.00,380.00,0.0,0.60,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,22.0,DS1-17,GGBS,139.60,349.00,60.0,1.38,0.55,192.00,,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,23.0,DS1-18,GGBS,342.00,380.00,10.0,0.67,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,24.0,DS1-19,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,25.0,DS1-20,GGBS,475.00,475.00,0.0,0.48,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS2,7401.0,DS2-25,None,600,600,0.0,0.3,,180.0,62.8,0,0,0,,
DS4,8111.0,DS4-1,Fly Ash,375,500,25.0,,0.38,190,49,824.9,824.9,1649.8,1.0,0.3030670384289005
DS2,7402.0,DS2-26,None,650,650,0.0,0.3,,195.0,70.2,0,0,0,,
DS4,8112.0,DS4-2,Fly Ash,382.5,518.0,26.158301158301157,,0.40,206.2,38.7,793.1,793.1,1586.2,1.0,0.3265666372462489
DS4,8113.0,DS4-3,Fly Ash,321.8,482.0,33.23651452282158,,0.36,174.5,37.6,845.3,845.3,1690.6,1.0,0.28510587956938366
DS2,7403.0,DS2-27,None,650,650,0.0,0.3,,195.0,69.8,0,0,0,,
DS2,7404.0,DS2-28,None,650,650,0.0,0.3,,195.0,70.7,0,0,0,,
DS2,7405.0,DS2-29,None,650,650,0.0,0.3,,195.0,67.5,0,0,0,,
DS2,7406.0,DS2-30,None,650,650,0.0,0.3,,195.0,67.1,0,0,0,,
DS2,7377.0,DS2-1,None,600,600,0.0,0.19,,114.00,62.8,0,0,0,,
DS2,7378.0,DS2-2,None,400,400,0.0,0.19,,76.00,50,0,0,0,,
DS2,7379.0,DS2-3,None,400,400,0.0,0.24,,96.00,46.7,0,0,0,,
DS2,7380.0,DS2-4,None,500,500,0.0,0.27,,135.00,60.2,0,0,0,,
DS2,7381.0,DS2-5,None,400,400,0.0,0.27,,108.00,42.7,0,0,0,,
DS2,7382.0,DS2-6,None,450,450,0.0,0.28,,126.00,70,0,0,0,,
DS2,7383.0,DS2-7,None,450,450,0.0,0.28,,126.00,68,0,0,0,,
DS2,7384.0,DS2-8,None,450,450,0.0,0.28,,126.00,60,0,0,0,,
DS2,7385.0,DS2-9,None,380,380,0.0,0.285,,108.300,102.09,0,0,0,,
DS2,7386.0,DS2-10,None,380,380,0.0,0.285,,108.300,108.03,0,0,0,,
DS2,7407.0,DS2-31,None,463,463,0.0,0.31,,143.53,60.1,0,0,0,,
DS2,7408.0,DS2-32,None,400,400,0.0,0.31,,124.00,58.5,0,0,0,,
DS2,7409.0,DS2-33,None,380,380,0.0,0.32,,121.60,54.8,0,0,0,,
DS2,7410.0,DS2-34,None,495,495,0.0,0.32,,158.40,50,0,0,0,,
DS2,7411.0,DS2-35,None,495,495,0.0,0.32,,158.40,46,0,0,0,,
DS2,7412.0,DS2-36,None,495,495,0.0,0.32,,158.40,33,0,0,0,,
DS2,7413.0,DS2-37,None,452,452,0.0,0.34,,153.68,48.4,0,0,0,,
DS2,7414.0,DS2-38,None,442,442,0.0,0.34,,150.28,43.8,0,0,0,,
DS3,4344.0,DS3-14,Fly Ash,604,604,0.0,,,191.5,52.02,575,900,1475,1.565217391304348,0.4094915254237288
DS2,7426.0,DS2-50,None,557,557,0.0,0.35,,194.95,60.3,0,0,0,,
DS2,7427.0,DS2-51,None,557,557,0.0,0.35,,194.95,60,0,0,0,,
DS2,7428.0,DS2-52,None,557,557,0.0,0.35,,194.95,60.9,0,0,0,,
DS2,7429.0,DS2-53,None,557,557,0.0,0.35,,194.95,57.4,0,0,0,,
DS2,7430.0,DS2-54,None,557,557,0.0,0.35,,194.95,57.1,0,0,0,,
DS2,7431.0,DS2-55,None,400,400,0.0,0.35,,140.00,68.01,0,0,0,,
DS2,7432.0,DS2-56,None,400,400,0.0,0.35,,140.00,56.21,0,0,0,,
DS2,7433.0,DS2-57,None,400,400,0.0,0.35,,140.00,46,0,0,0,,
DS2,7434.0,DS2-58,None,528,528,0.0,0.35,,184.80,51,0,0,0,,
DS2,7435.0,DS2-59,None,528,528,0.0,0.35,,184.80,50.78,0,0,0,,
DS2,7436.0,DS2-60,None,528,528,0.0,0.35,,184.80,49.66,0,0,0,,
DS2,7437.0,DS2-61,None,528,528,0.0,0.35,,184.80,49.36,0,0,0,,
DS2,7438.0,DS2-62,None,528,528,0.0,0.35,,184.80,47.93,0,0,0,,
DS2,7439.0,DS2-63,None,528,528,0.0,0.35,,184.80,47.1,0,0,0,,
DS3,4345.0,DS3-15,Fly Ash,604,604,0.0,,,189.7,51.04,550,900,1450,1.6363636363636365,0.416551724137931
DS3,4346.0,DS3-16,Fly Ash,216,540,60.0,,,172.8,27.8,600,900,1500,1.5,0.36
DS3,4347.0,DS3-17,Fly Ash,216,540,60.0,,,171,27.77,575,900,1475,1.565217391304348,0.36610169491525424
DS3,4348.0,DS3-18,Fly Ash,216,540,60.0,,,169.2,28.31,550,900,1450,1.6363636363636365,0.3724137931034483
DS3,4349.0,DS3-19,Fly Ash,399,570.0,30.0,,,182.4,48.69,600,900,1500,1.5,0.38
DS3,4350.0,DS3-20,Fly Ash,399,570.0,30.0,,,180.6,40.23,575,900,1475,1.565217391304348,0.3864406779661017
DS3,4351.0,DS3-21,Fly Ash,399,570.0,30.0,,,178.8,48.16,550,900,1450,1.6363636363636365,0.3931034482758621
DS3,4352.0,DS3-22,Silica Fume,527,620,15.0,,,173.6,71.42,600,900,1500,1.5,0.41333333333333333
DS3,4353.0,DS3-23,Silica Fume,527,620,15.0,,,171.8,66.31,575,900,1475,1.565217391304348,0.42033898305084744
DS3,4354.0,DS3-24,Silica Fume,527,620,15.0,,,170,58.01,550,900,1450,1.6363636363636365,0.42758620689655175
DS3,4355.0,DS3-25,Fly Ash,390,390,0.0,,,195,,1200,710,1910,0.5916666666666667,0.20418848167539266
DS3,4356.0,DS3-26,GGBS,312,383,18.5378590078329,,,195,,1200,710,1910,0.5916666666666667,0.20052356020942408
DS3,4357.0,DS3-27,GGBS,234,376,37.765957446808514,,,195,,1200,710,1910,0.5916666666666667,0.1968586387434555
DS2,7440.0,DS2-64,None,528,528,0.0,0.35,,184.80,46.9,0,0,0,,
DS2,7441.0,DS2-65,None,528,528,0.0,0.35,,184.80,45.1,0,0,0,,
DS2,7442.0,DS2-66,None,528,528,0.0,0.35,,184.80,46.2,0,0,0,,
DS4,8114.0,DS4-4,Fly Ash,327.5,518.0,36.77606177606177,,0.40,206.2,47.7,787.2,787.2,1574.4,1.0,0.32901422764227645
DS2,7443.0,DS2-67,None,528,528,0.0,0.35,,184.80,44.54,0,0,0,,
DS2,7444.0,DS2-68,None,460,460,0.0,0.36,,165.60,60.3,0,0,0,,
