mix_id,dataset_id,w_c_ratio,w_b_ratio,k_flag
8110,9,0.99,0.99,FALSE
633,6,0.9,0.9,FALSE
634,6,0.9,0.9,FALSE
4884,10,,0.86,FALSE
612,6,0.82,0.822,FALSE
614,6,0.82,0.822,FALSE
613,6,0.82,0.822,FALSE
611,6,0.82,0.822,FALSE
616,6,0.82,0.818,FALSE
632,6,0.82,0.818,FALSE
615,6,0.82,0.818,FALSE
4893,10,,0.81,FALSE
635,6,0.8,0.804,FALSE
636,6,0.8,0.804,FALSE
8106,9,0.8,0.8,FALSE
13416,16,,0.8,TRUE
13417,16,,0.8,TRUE
8107,9,0.8,0.8,FALSE
8108,9,0.8,0.8,FALSE
8109,9,0.8,0.8,FALSE
5279,10,,0.8,FALSE
5299,10,,0.8,FALSE
5316,10,,0.8,FALSE
4523,10,,0.786,FALSE
4513,10,,0.786,FALSE
4508,10,,0.786,FALSE
4518,10,,0.786,FALSE
4503,10,,0.786,FALSE
4528,10,,0.786,FALSE
742,6,0.78,0.782,FALSE
743,6,0.78,0.782,FALSE
596,6,0.78,0.78,FALSE
626,6,0.78,0.78,FALSE
623,6,0.78,0.78,FALSE
624,6,0.78,0.78,FALSE
581,6,0.78,0.78,FALSE
625,6,0.78,0.78,FALSE
786,6,0.78,0.777,FALSE
13344,16,,0.76,TRUE
13346,16,,0.76,TRUE
13343,16,,0.76,TRUE
13345,16,,0.76,TRUE
13418,16,,0.759,TRUE
683,6,1.88,0.753,FALSE
548,6,0.75,0.753,FALSE
549,6,0.75,0.753,FALSE
551,6,0.75,0.753,FALSE
557,6,0.75,0.753,FALSE
658,6,1.88,0.753,FALSE
659,6,1.88,0.753,FALSE
674,6,1.25,0.753,FALSE
686,6,1.88,0.753,FALSE
699,6,1.25,0.753,FALSE
712,6,1.25,0.753,FALSE
720,6,1.25,0.753,FALSE
703,6,1.88,0.752,FALSE
6627,10,,0.752,FALSE
694,6,1.88,0.752,FALSE
6573,10,,0.752,FALSE
663,6,1.88,0.752,FALSE
665,6,1.88,0.752,FALSE
6609,10,,0.752,FALSE
6591,10,,0.752,FALSE
13025,16,,0.75,TRUE
13026,16,,0.75,TRUE
13007,16,,0.75,TRUE
13008,16,,0.75,TRUE
13009,16,,0.75,TRUE
13010,16,,0.75,TRUE
13011,16,,0.75,TRUE
13012,16,,0.75,TRUE
13014,16,,0.75,TRUE
13015,16,,0.75,TRUE
13016,16,,0.75,TRUE
13017,16,,0.75,TRUE
13018,16,,0.75,TRUE
13019,16,,0.75,TRUE
13020,16,,0.75,TRUE
13021,16,,0.75,TRUE
13022,16,,0.75,TRUE
13023,16,,0.75,TRUE
13024,16,,0.75,TRUE
13013,16,,0.75,TRUE
13028,16,,0.75,TRUE
13029,16,,0.75,TRUE
13030,16,,0.75,TRUE
13031,16,,0.75,TRUE
13046,16,,0.75,TRUE
13052,16,,0.75,TRUE
13058,16,,0.75,TRUE
13027,16,,0.75,TRUE
13221,16,,0.75,TRUE
12938,16,,0.75,TRUE
12941,16,,0.75,TRUE
12946,16,,0.75,TRUE
12935,16,,0.75,TRUE
12932,16,,0.75,TRUE
12992,16,,0.75,TRUE
12756,16,,0.75,TRUE
12776,16,,0.75,TRUE
12781,16,,0.75,TRUE
12926,16,,0.75,TRUE
12923,16,,0.75,TRUE
12929,16,,0.75,TRUE
12995,16,,0.75,TRUE
12996,16,,0.75,TRUE
12998,16,,0.75,TRUE
13000,16,,0.75,TRUE
13001,16,,0.75,TRUE
13002,16,,0.75,TRUE
13003,16,,0.75,TRUE
13004,16,,0.75,TRUE
13005,16,,0.75,TRUE
13006,16,,0.75,TRUE
6567,10,,0.749,FALSE
6597,10,,0.749,FALSE
6603,10,,0.749,FALSE
6633,10,,0.749,FALSE
6585,10,,0.749,FALSE
6621,10,,0.749,FALSE
6579,10,,0.749,FALSE
6615,10,,0.749,FALSE
814,6,0.74,0.738,FALSE
599,6,0.74,0.735,FALSE
597,6,0.74,0.735,FALSE
807,6,0.73,0.734,FALSE
815,6,0.73,0.734,FALSE
806,6,0.73,0.734,FALSE
13419,16,,0.73,TRUE
648,6,0.73,0.728,FALSE
647,6,0.73,0.728,FALSE
23331,19,,0.72,FALSE
8103,9,0.72,0.72,FALSE
8104,9,0.72,0.72,FALSE
8105,9,0.72,0.72,FALSE
8102,9,0.72,0.72,FALSE
12990,16,,0.712,TRUE
12993,16,,0.711,TRUE
12909,16,,0.703,TRUE
