mix_id,w_c_ratio,w_b_ratio,k_flag,wb_k_reported
12959,,1.5,TRUE,1.33
13383,,1.5,TRUE,1.33
13214,,1.433,TRUE,1.27
12919,,1.295,TRUE,1.14
12963,,1.29,TRUE,1.14
12958,,1.286,TRUE,1.14
13382,,1.286,TRUE,1.14
13696,,1.212,TRUE,1.07
13417,,1.145,TRUE,0.98
12947,,1.143,TRUE,1.01
12975,,1.125,TRUE,0.99
12918,,1.111,TRUE,0.98
13572,,1.067,TRUE,0.94
13418,,1.061,TRUE,0.98
13381,,1.059,TRUE,0.94
12957,,1.059,TRUE,0.94
12962,,1.059,TRUE,0.94
12531,,1.05,TRUE,0.93
12912,,1.023,TRUE,0.9
13498,,1.007,TRUE,0.89
13419,,1.004,TRUE,0.98
12982,,1.002,TRUE,0.89
12759,,1,TRUE,0.88
12935,,1,TRUE,0.88
12926,,1,TRUE,0.88
12938,,1,TRUE,0.88
12948,,1,TRUE,0.88
12946,,1,TRUE,0.88
12929,,1,TRUE,0.88
13411,,0.999,TRUE,0.85
8110,0.99,0.99,FALSE,
12976,,0.953,TRUE,0.84
12964,,0.945,TRUE,0.83
12807,,0.944,TRUE,0.83
12776,,0.938,TRUE,0.85
13420,,0.937,TRUE,0.97
13212,,0.933,TRUE,0.82
13412,,0.928,TRUE,0.85
12917,,0.928,TRUE,0.82
13527,,0.927,TRUE,0.6
13524,,0.927,TRUE,0.6
13493,,0.927,TRUE,0.82
12920,,0.923,TRUE,0.82
12766,,0.917,TRUE,0.81
12764,,0.917,TRUE,0.81
12786,,0.917,TRUE,0.81
12778,,0.917,TRUE,0.81
13521,,0.905,TRUE,0.58
633,0.9,0.9,FALSE,
12949,,0.9,TRUE,0.8
12974,,0.9,TRUE,0.8
12961,,0.9,TRUE,0.8
634,0.9,0.9,FALSE,
12965,,0.899,TRUE,0.79
12525,,0.894,TRUE,0.79
13421,,0.891,TRUE,0.98
12978,,0.88,TRUE,0.78
12977,,0.878,TRUE,0.78
13413,,0.874,TRUE,0.85
12911,,0.874,TRUE,0.77
13405,,0.86,TRUE,0.73
13215,,0.86,TRUE,0.76
4884,,0.86,FALSE,
13671,,0.857,TRUE,0.76
13664,,0.857,TRUE,0.76
13121,,0.857,TRUE,0.76
13423,,0.857,TRUE,0.73
12757,,0.857,TRUE,0.76
12758,,0.857,TRUE,0.76
13147,,0.842,TRUE,0.74
12950,,0.842,TRUE,0.74
12952,,0.842,TRUE,0.74
13571,,0.84,TRUE,0.74
12981,,0.835,TRUE,0.74
13287,,0.833,TRUE,0.74
12787,,0.833,TRUE,0.74
12767,,0.833,TRUE,0.74
12765,,0.833,TRUE,0.74
13281,,0.833,TRUE,0.74
13449,,0.827,TRUE,0.59
13443,,0.827,TRUE,0.59
13455,,0.827,TRUE,0.59
13431,,0.827,TRUE,0.59
13437,,0.827,TRUE,0.59
616,0.82,0.82,FALSE,
613,0.82,0.82,FALSE,
632,0.82,0.82,FALSE,
615,0.82,0.82,FALSE,
13414,,0.82,TRUE,0.85
611,0.82,0.82,FALSE,
612,0.82,0.82,FALSE,
614,0.82,0.82,FALSE,
12967,,0.813,TRUE,0.72
12522,,0.812,TRUE,0.74
4893,,0.81,FALSE,
12979,,0.81,TRUE,0.72
636,0.8,0.8,FALSE,
8108,0.8,0.8,FALSE,
