phase,material_id,class_code,coalesce,coalesce
after,13,WATER,water,water
after,15,AGGR_C,rca,recycled coarse aggregate
after,24,SCM,(null),scm 1
after,26,ADM,(null),adm 1
after,32,ADM,air_entrainer,air_entrainer
after,44,ADM,accelerator,accelerator
after,46,ADM,sp___air_entrainer,sp___air_entrainer
after,50,ADM,retarder,retarder
after,54,SCM,specific_name,opc
after,68,WATER,added_water,dosage_kg_m3
after,72,SCM,ba,ba
after,75,SCM,fluidized_fly_ash,fluidized_fly_ash
after,76,SCM,natural_zeolite,natural_zeolite
after,77,SCM,scm1,dosage_kg_m3
after,69,SCM,rha,rice husk ash
after,3,CEMENT,cem i,cem i
after,23,CEMENT,cem_i,cem_i
after,27,CEMENT,cem_iii/a,cem_iii/a
after,28,CEMENT,cem_iii/b,cem_iii/b
after,29,CEMENT,cem_ii/all,cem_ii/all
after,30,CEMENT,cem_ii/bs,cem_ii/bs
after,35,CEMENT,cem_ii/bm__sll_,cem_ii/bm__sll_
after,37,CEMENT,cem_ii/bv,cem_ii/bv
after,39,CEMENT,cem_ii/bll,cem_ii/bll
after,40,CEMENT,cem_ii/cm__sll_,cem_ii/cm__sll_
after,41,CEMENT,cem_ii/bm__vll_,cem_ii/bm__vll_
after,42,CEMENT,cem_ii/cm__vll_,cem_ii/cm__vll_
after,43,CEMENT,cem_ii/as,cem_ii/as
after,49,CEMENT,cem_ii/am__sll_,cem_ii/am__sll_
after,4,SCM,ggbs,ground-granulated blast-furnace slag
after,5,SCM,fly_ash,fly ash (general)
after,6,WATER,water,water
after,7,ADM,superplasticizer,superplasticizer (hrwr)
after,8,AGGR_C,natural_coarse_aggregate,natural coarse aggregate
after,9,AGGR_F,natural_fine_aggregate,natural fine aggregate
after,14,AGGR_F,nfa,natural fine aggregate
after,16,AGGR_C,nca,natural coarse aggregate
after,21,SCM,limestone_powder,limestone powder (filler)
after,31,SCM,silica_fume,silica fume
after,38,CEMENT,cem_iii/c,cem iii/c (blastfurnace cement)
after,47,SCM,calcined_fly_ash,calcined fly ash
after,48,SCM,calcined_clay,calcined clay (metakaolin)
after,51,SCM,fly_ash_lignite,fly ash - lignite/brown coal (class f)
after,52,SCM,fly_ash_bituminous,fly ash - bituminous coal (class f)
after,53,CEMENT,portland_cement,portland cement
after,73,SCM,pofa,palm oil fly ash
after,36,SCM,natural_pozzolan,natural pozzolan
