mix_id,dataset_id,dataset_name,mix_code,component_count
6,6,DS1,DS1-1,7
7,6,DS1,DS1-2,7
8,6,DS1,DS1-3,7
9,6,DS1,DS1-4,7
10,6,DS1,DS1-5,7
7387,9,DS2,DS2-11,2
8111,11,DS4,1,8
7388,9,DS2,DS2-12,2
8112,11,DS4,2,8
7389,9,DS2,DS2-13,2
8113,11,DS4,3,8
7390,9,DS2,DS2-14,2
8114,11,DS4,4,8
7391,9,DS2,DS2-15,2
8115,11,DS4,5,8
7392,9,DS2,DS2-16,2
8116,11,DS4,6,8
7393,9,DS2,DS2-17,2
8117,11,DS4,7,8
7394,9,DS2,DS2-18,2
8118,11,DS4,8,8
7395,9,DS2,DS2-19,2
8119,11,DS4,9,8
7396,9,DS2,DS2-20,2
8120,11,DS4,10,8
7397,9,DS2,DS2-21,2
8121,11,DS4,11,8
7398,9,DS2,DS2-22,2
8122,11,DS4,12,8
7399,9,DS2,DS2-23,2
8123,11,DS4,13,8
4331,10,DS3,DS3-1,9
4332,10,DS3,DS3-2,9
4333,10,DS3,DS3-3,9
4334,10,DS3,DS3-4,9
4335,10,DS3,DS3-5,9
4336,10,DS3,DS3-6,9
4337,10,DS3,DS3-7,9
4338,10,DS3,DS3-8,9
4339,10,DS3,DS3-9,9
4340,10,DS3,DS3-10,9
4341,10,DS3,DS3-11,9
4342,10,DS3,DS3-12,9
4343,10,DS3,DS3-13,9
7400,9,DS2,DS2-24,2
13083,16,DS5,653,6
11,6,DS1,DS1-6,7
12,6,DS1,DS1-7,7
13,6,DS1,DS1-8,7
14,6,DS1,DS1-9,7
15,6,DS1,DS1-10,7
16,6,DS1,DS1-11,7
17,6,DS1,DS1-12,7
18,6,DS1,DS1-13,7
19,6,DS1,DS1-14,7
20,6,DS1,DS1-15,7
21,6,DS1,DS1-16,7
22,6,DS1,DS1-17,7
23,6,DS1,DS1-18,7
24,6,DS1,DS1-19,7
25,6,DS1,DS1-20,7
7401,9,DS2,DS2-25,2
13084,16,DS5,654,6
7402,9,DS2,DS2-26,2
7403,9,DS2,DS2-27,2
7404,9,DS2,DS2-28,2
7405,9,DS2,DS2-29,2
7406,9,DS2,DS2-30,2
7377,9,DS2,DS2-1,2
7378,9,DS2,DS2-2,2
7379,9,DS2,DS2-3,2
7380,9,DS2,DS2-4,2
7381,9,DS2,DS2-5,2
7382,9,DS2,DS2-6,2
7383,9,DS2,DS2-7,2
