mix_code,dataset,flag_missing_cement,flag_missing_water,flag_missing_aggregate,flag_missing_wcr,flag_zero_cement,flag_zero_water,flag_zero_aggregate,flag_invalid_wcr,flag_missing_28d_strength,flag_missing_slump,data_quality_score
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
1,DS6,0,0,0,0,0,0,0,0,0,1,9
2,DS6,0,0,0,0,0,0,0,0,0,1,9
2,DS6,0,0,0,0,0,0,0,0,0,1,9
2,DS6,0,0,0,0,0,0,0,0,0,1,9
