cement_kg_m3,blas_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,superplasticizer_percentage_weight_of_cement_%,natural_coarse_aggregate_kg_m3,natural_fine_aggregate_kg_m3,testing_age,water_cement_ratio,water_binder_ratio,coarse-agg_fine-agg_ratio,fck_mpa
540.00,0.00,0.00,162.00,2.50,0.46,1040.00,676.00,28.00,0.30,0.3,1.54,79.99
540.00,0.00,0.00,162.00,2.50,0.46,1055.00,676.00,28.00,0.30,0.30,1.56,61.89
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.69,0.48,1.57,40.27
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.69,0.48,1.57,41.05
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,360.00,0.97,0.58,1.19,44.30
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.86,0.60,1.39,47.03
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.60,0.48,1.57,43.70
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.60,0.48,1.57,36.45
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,28.00,0.86,0.60,1.39,45.85
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.48,0.48,1.57,39.29
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,90.00,0.97,0.58,1.19,38.07
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,28.00,0.97,0.58,1.19,28.02
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.53,0.48,1.57,43.01
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,1.20,0.60,1.39,42.33
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,28.00,0.75,0.60,1.39,47.81
380.00,0.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.60,0.60,1.39,52.91
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,90.00,1.38,0.55,1.30,39.36
342.00,38.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,0.67,0.60,1.39,56.14
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.60,0.48,1.57,40.56
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.48,0.48,1.57,42.62
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.53,0.48,1.57,41.84
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,28.00,1.38,0.55,1.30,28.24
