Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
1,2013,Butler et al.,0.19,300,0,600,600,2220,,10,,7.8,,100,4x8 Cylinder,62.8
2,2015,Gayarre et al.,0.19,880,0,800,400,2480,,10,,5.77,,,6x12 Cylinder,50
4,2015,Gayarre et al.,0.24,880,0,800,400,2480,,10,,5.77,,,6x12 Cylinder,46.7
7,2013,Butler et al.,0.27,275,0,625,500,2280,,10,,6.2,,85,4x8 Cylinder,60.2
8,2015,Gayarre et al.,0.27,880,0,800,400,2480,,10,,5.77,,,6x12 Cylinder,42.7
15,2018,Nisreen et al.,0.28,0,240,750,450,,2650,,14,,0.7,100,6x6x6 Cube,70
16,2018,Nisreen et al.,0.28,84,156,750,450,2400,2650,14,14,3.6,0.7,100,6x6x6 Cube,68
17,2018,Nisreen et al.,0.28,240,0,750,450,2400,,14,,3.6,,100,6x6x6 Cube,60
18,2014,Andreu and Miren,0.285,0,152,950,380,,2680,,10,,1.39,,6x6x6 Cube,102.09
19,2014,Andreu and Miren,0.285,22.8,91.2,950,380,2470,2680,10,10,1.24,1.39,,6x6x6 Cube,108.03
20,2014,Andreu and Miren,0.285,22.8,91.2,950,380,2390,2680,10,10,1.76,1.39,,6x6x6 Cube,102.48
21,2014,Andreu and Miren,0.285,22.8,91.2,950,380,2300,2680,10,10,2.08,1.39,,6x6x6 Cube,104.28
22,2014,Andreu and Miren,0.285,57,57,950,380,2470,2680,10,10,1.51,1.39,,6x6x6 Cube,104.8
23,2014,Andreu and Miren,0.285,38,38,950,380,2390,2680,10,10,1.93,1.39,,6x6x6 Cube,103.1
24,2014,Andreu and Miren,0.285,38,38,950,380,2300,2680,10,10,2.12,1.39,,6x6x6 Cube,96.84
25,2014,Andreu and Miren,0.285,76,0,950,380,2470,,10,,1.51,,,6x6x6 Cube,108.51
26,2014,Andreu and Miren,0.285,38,0,950,380,2390,,10,,2.43,,,6x6x6 Cube,100.78
27,2014,Andreu and Miren,0.285,0,0,950,380,2300,,10,,2.17,,,6x6x6 Cube,91.23
28,2000,Limbachia et al.,0.29,0,736.42,495.58,560,2600,,,20,,2.5,,4x4x4 Cube,70.5
29,2000,Limbachia et al.,0.29,220.93,515.5,495.58,560,2410,,20,20,4.9,2.5,,4x4x4 Cube,70.2
30,2000,Limbachia et al.,0.29,368.21,368.21,495.58,560,2410,,20,20,4.9,2.5,,4x4x4 Cube,70.8
31,2000,Limbachia et al.,0.29,736.42,0,495.58,560,2410,,20,,4.9,,,4x4x4 Cube,70
32,2013,Butler et al.,0.29,33.7,0,842.5,337,2220,,10,,7.8,,80,4x8 Cylinder,39.3
33,2015,Gayarre et al.,0.29,880,0,800,400,2480,,10,,5.77,,,6x12 Cylinder,41.6
34,2014,Butler et al.,0.3,279,0,600,600,2410,,19,,7.18,,100,,62.8
35,2015,Haitao and Shizhu,0.3,0,671.67,433.33,650,,2780,,32,,0.72,80,6x6x6 Cube,70.2
36,2015,Haitao and Shizhu,0.3,201.5,470.17,433.33,650,2492,2780,32,32,3.87,0.72,75,6x6x6 Cube,69.8
37,2015,Haitao and Shizhu,0.3,335.83,335.83,433.33,650,2492,2780,32,32,3.87,0.72,70,6x6x6 Cube,70.7
38,2015,Haitao and Shizhu,0.3,537.33,134.33,433.33,650,2492,2780,32,32,3.87,0.72,50,6x6x6 Cube,67.5
39,2015,Haitao and Shizhu,0.3,671.67,0,433.33,650,2492,,32,,3.87,,35,6x6x6 Cube,67.1
41,2013,Butler et al.,0.31,354.97,0,617.33,463,2360,,10,,4.7,,80,4x8 Cylinder,60.1
42,2015,Gayarre et al.,0.31,0,760,800,400,,2650,,10,,1,,6x12 Cylinder,58.5
45,2009,Domingo-Cabo et al.,0.32,114,0,760,380,2338,,20,,5.2,,,6x12 Cylinder,54.8
46,2013,Kim et al.,0.32,0,420.75,618.75,495,,2620,,,,0.84,,4x8 Cylinder,50
47,2013,Kim et al.,0.32,111.38,259.88,618.75,495,2140,2620,25,,6.28,,,4x8 Cylinder,46
48,2013,Kim et al.,0.32,272.25,0,618.75,495,2140,,25,,6.28,,,4x8 Cylinder,33
55,2008,Casuccio et al.,0.34,0,45.2,904,452,,2700,,19,,0.5,,4x8 Cylinder,48.4
57,2008,Casuccio et al.,0.34,88.4,0,884,442,2500,,30,,3.9,,,4x8 Cylinder,43.8
58,2013,Butler et al.,0.34,0,511.35,608.75,487,,2670,,20,,1.5,115,4x8 Cylinder,61.9
59,2014,Duan and Poon,0.34,0,374.14,692.86,485,,2600,,20,,0.9,,4x4x4 Cube,80.8
60,2014,Duan and Poon,0.34,325.64,0,692.86,485,2450,,20,,3.1,,,4x4x4 Cube,78.2
