mix_number,mix_mark,cement (kg/m3),eff_water (kg/m3)  ,NCA (kg/m3),RCA (kg/m3),"NFA,sand (kg/m3)",fly ash (kg/m3),silica fume (kg/m3),BFS (kg/m3) ,SP (kg/m3),Testing Age (day),CS fck (mpa),ref.,year,country
1,,280,180,832,0,1045,0,0,0,0,28,22.45,Alexandridou et al,2018,Greece
2,,280,180,623,208,1045,0,0,0,0,28,21.64,Alexandridou et al,2018,Greece
3,,280,180,415,416,1045,0,0,0,0,28,19.45,Alexandridou et al,2018,Greece
4,,280,180,208,623,1045,0,0,0,0,28,14.09,Alexandridou et al,2018,Greece
5,,330,191,788,0,998,0,0,0,0,28,27.36,Alexandridou et al,2018,Greece
6,,330,191,598,166,998,0,0,0,0,28,27.36,Alexandridou et al,2018,Greece
7,,330,191,419,320,996,0,0,0,0,28,25.55,Alexandridou et al,2018,Greece
8,,330,191,253,462,996,0,0,0,0,28,25.09,Alexandridou et al,2018,Greece
9,,330,191,788,0,998,0,0,0,0,28,27.36,Alexandridou et al,2018,Greece
10,,330,191,601,167,1005,0,0,0,0,28,26.36,Alexandridou et al,2018,Greece
11,,330,191,424,324,1005,0,0,0,0,28,23.91,Alexandridou et al,2018,Greece
12,,330,191,257,472,1005,0,0,0,0,28,21.82,Alexandridou et al,2018,Greece
13,,604,193.3,600,0,900,0,0,0,5.01,28,56.21,Singh and Singh,2018,India
14,,604,191.5,300,275,900,0,0,0,5.01,28,52.02,Singh and Singh,2018,India
15,,604,189.7,0,550,900,0,0,0,5.01,28,51.04,Singh and Singh,2018,India
16,,216,172.8,600,0,900,324,0,0,2.54,28,27.8,Singh and Singh,2018,India
17,,216,171,300,275,900,324,0,0,2.54,28,27.77,Singh and Singh,2018,India
18,,216,169.2,0,550,900,324,0,0,2.54,28,28.31,Singh and Singh,2018,India
19,,399,182.4,600,0,900,142.5,28.5,0,4.1,28,48.69,Singh and Singh,2018,India
20,,399,180.6,300,275,900,142.5,28.5,0,4.1,28,40.23,Singh and Singh,2018,India
21,,399,178.8,0,550,900,142.5,28.5,0,4.1,28,48.16,Singh and Singh,2018,India
22,,527,173.6,600,0,900,0,93,0,7.13,28,71.42,Singh and Singh,2018,India
23,,527,171.8,300,275,900,0,93,0,7.13,28,66.31,Singh and Singh,2018,India
24,,527,170,0,550,900,0,93,0,7.13,28,58.01,Singh and Singh,2018,India
25,,390,195,1200,0,710,0,0,0,0,7,25.75,Majhi et al,2018,India
26,,312,195,1200,0,710,0,0,71,0,7,22.96,Majhi et al,2018,India
27,,234,195,1200,0,710,0,0,142,0,7,21.37,Majhi et al,2018,India
28,,156,195,1200,0,710,0,0,212,0,7,18.42,Majhi et al,2018,India
29,,390,207,900,274,710,0,0,0,0,7,24.56,Majhi et al,2018,India
30,,312,207,900,274,710,0,0,71,0,7,21.77,Majhi et al,2018,India
31,,234,207,900,274,710,0,0,142,0,7,20.1,Majhi et al,2018,India
32,,156,207,900,274,710,0,0,212,0,7,18.1,Majhi et al,2018,India
33,,390,213,600,548,710,0,0,0,0,7,22.81,Majhi et al,2018,India
34,,312,213,600,548,710,0,0,71,0,7,21.05,Majhi et al,2018,India
35,,234,213,600,548,710,0,0,142,0,7,19.7,Majhi et al,2018,India
36,,156,213,600,548,710,0,0,212,0,7,17.23,Majhi et al,2018,India
37,,390,225,0,1096,710,0,0,0,0,7,20.42,Majhi et al,2018,India
38,,312,225,0,1096,710,0,0,71,0,7,18.02,Majhi et al,2018,India
39,,234,225,0,1096,710,0,0,142,0,7,16.35,Majhi et al,2018,India
40,,156,225,0,1096,710,0,0,212,0,7,14.51,Majhi et al,2018,India
41,,390,195,1200,0,710,0,0,0,0,28,34.29,Majhi et al,2018,India
42,,312,195,1200,0,710,0,0,71,0,28,31.82,Majhi et al,2018,India
43,,234,195,1200,0,710,0,0,142,0,28,30.46,Majhi et al,2018,India
44,,156,195,1200,0,710,0,0,212,0,28,26.32,Majhi et al,2018,India
45,,390,207,900,274,710,0,0,0,0,28,33.09,Majhi et al,2018,India
46,,312,207,900,274,710,0,0,71,0,28,30.86,Majhi et al,2018,India
47,,234,207,900,274,710,0,0,142,0,28,29.26,Majhi et al,2018,India
48,,156,207,900,274,710,0,0,212,0,28,25.84,Majhi et al,2018,India
49,,390,213,600,548,710,0,0,0,0,28,30.46,Majhi et al,2018,India
50,,312,213,600,548,710,0,0,71,0,28,29.51,Majhi et al,2018,India
51,,234,213,600,548,710,0,0,142,0,28,28.95,Majhi et al,2018,India
52,,156,213,600,548,710,0,0,212,0,28,25.52,Majhi et al,2018,India
53,,390,225,0,1096,710,0,0,0,0,28,27.67,Majhi et al,2018,India
54,,312,225,0,1096,710,0,0,71,0,28,25.35,Majhi et al,2018,India
55,,234,225,0,1096,710,0,0,142,0,28,24.08,Majhi et al,2018,India
56,,156,225,0,1096,710,0,0,212,0,28,21.77,Majhi et al,2018,India
57,,390,195,1200,0,710,0,0,0,0,90,41.86,Majhi et al,2018,India
58,,312,195,1200,0,710,0,0,71,0,90,39.87,Majhi et al,2018,India
59,,234,195,1200,0,710,0,0,142,0,90,38.92,Majhi et al,2018,India
60,,156,195,1200,0,710,0,0,212,0,90,35.81,Majhi et al,2018,India
61,,390,207,900,274,710,0,0,0,0,90,40.99,Majhi et al,2018,India
62,,312,207,900,274,710,0,0,71,0,90,39.15,Majhi et al,2018,India
63,,234,207,900,274,710,0,0,142,0,90,37.72,Majhi et al,2018,India
64,,156,207,900,274,710,0,0,212,0,90,35.81,Majhi et al,2018,India
65,,390,213,600,548,710,0,0,0,0,90,38.04,Majhi et al,2018,India
66,,312,213,600,548,710,0,0,71,0,90,37.24,Majhi et al,2018,India
67,,234,213,600,548,710,0,0,142,0,90,37.08,Majhi et al,2018,India
68,,156,213,600,548,710,0,0,212,0,90,35.16,Majhi et al,2018,India
69,,390,225,0,1096,710,0,0,0,0,90,34.21,Majhi et al,2018,India
