Mix No.,Total Binder Content (kg/m3)," Cement, OPC (kg/m3)",Fly Ash (kg/m3),Limestone Powder (kg/m3),(Silica Fume) (kg/m3),Water (kg/m3),Superplasticiser (kg/m3),Coarse Aggregate (kg/m3),Fine Aggregate (kg/m3),W/B Ratio,"FA/B (Fly Ash Replacment, %)","LS/B (Limestone Replacement, %)","SF/B (Silica Fume Replacement, %)",SP/B (%),Slump Flow Diameter (mm),"Comp. Strength, Fc-28Days (Mpa)",
1,500,375,50,50,25,190,6.25,824.9,824.9,0.38,10%,10%,5%,1.250%,610,49,
2,518,382.5,85.3,33.5,16.7,206.2,6.02,793.1,793.1,0.40,16%,6%,3%,1.162%,800,38.7,
3,482,321.8,113.5,31.1,15.6,174.5,5.6,845.3,845.3,0.36,24%,6%,3%,1.162%,670,37.6,
4,518,327.5,85.3,70.1,35.1,206.2,6.93,787.2,787.2,0.40,16%,14%,7%,1.338%,750,47.7,
5,518,327.5,121.9,33.5,35.1,206.2,6.93,783.1,783.1,0.40,24%,6%,7%,1.338%,825,47.4,
6,518,327.5,85.3,70.1,35.1,187.5,6.02,812.4,812.4,0.36,16%,14%,7%,1.162%,600,53.5,
7,550,357.5,110,55,27.5,209,6.88,768.3,768.3,0.38,20%,10%,5%,1.251%,835,48.2,
8,482,338.9,79.3,31.1,32.6,191.8,6.45,824.6,824.6,0.40,16%,6%,7%,1.338%,660,43.5,
9,500,300,100,50,50,190,6.25,812.5,812.5,0.38,20%,10%,10%,1.250%,570,62.3,
10,482,304.8,79.3,65.3,32.6,174.5,6.45,845.4,845.4,0.36,16%,14%,7%,1.338%,540,49.6,
11,518,345.9,85.3,70.1,16.7,206.2,6.02,791.2,791.2,0.40,16%,14%,3%,1.162%,795,29.4,
12,518,345.9,121.9,33.5,16.7,187.5,6.02,811.3,811.3,0.36,24%,6%,3%,1.162%,760,38.6,
13,518,345.9,85.3,70.1,16.7,187.5,6.93,814.5,814.5,0.36,16%,14%,3%,1.338%,735,40.4,
14,518,345.9,121.9,33.5,16.7,206.2,6.93,786.1,786.1,0.40,24%,6%,3%,1.338%,925,32.8,
15,482,321.8,79.3,65.3,15.6,191.8,6.45,825.7,825.7,0.40,16%,14%,3%,1.338%,755,26.6,
16,518,327.5,121.9,33.5,35.1,187.5,6.93,807.3,807.3,0.36,24%,6%,7%,1.338%,715,56.9,
17,518,345.9,85.3,70.1,16.7,206.2,6.93,790.2,790.2,0.40,16%,14%,3%,1.338%,845,28.7,
18,482,270.6,113.5,65.3,32.6,191.8,5.6,818.1,818.1,0.40,24%,14%,7%,1.162%,680,35.6,
19,518,290.9,121.9,70.1,35.1,187.5,6.93,805.4,805.4,0.36,24%,14%,7%,1.338%,710,50.8,
20,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,695,41.6,
21,518,327.5,85.3,70.1,35.1,187.5,6.93,811.5,811.5,0.36,16%,14%,7%,1.338%,650,51.7,
22,482,321.8,113.5,31.1,15.6,191.8,6.45,821.8,821.8,0.40,24%,6%,3%,1.338%,835,30.7,
23,518,327.5,121.9,33.5,35.1,206.2,6.02,784,784,0.40,24%,6%,7%,1.162%,775,46,
24,518,309.2,121.9,70.1,16.7,206.2,6.93,784.2,784.2,0.40,24%,14%,3%,1.338%,920,27.8,
25,518,364.2,85.3,33.5,35.1,206.2,6.02,790.1,790.1,0.40,16%,6%,7%,1.162%,700,51.2,
26,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,710,43.8,
27,518,345.9,121.9,33.5,16.7,187.5,6.93,810.3,810.3,0.36,24%,6%,3%,1.338%,815,42.2,
28,482,338.9,79.3,31.1,32.6,191.8,5.6,825.5,825.5,0.40,16%,6%,7%,1.162%,610,50.3,
29,518,345.9,121.9,33.5,16.7,206.2,6.02,787.1,787.1,0.40,24%,6%,3%,1.162%,870,31.4,
30,518,309.2,121.9,70.1,16.7,206.2,6.02,785.2,785.2,0.40,24%,14%,3%,1.162%,870,26.4,
31,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,710,41.6,
32,482,304.8,113.5,31.1,32.6,174.5,5.6,842.5,842.5,0.36,24%,6%,7%,1.162%,570,54.5,
33,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,700,41.6,
34,450,292.5,90,45,22.5,171,5.63,865,865,0.38,20%,10%,5%,1.251%,585,34.7,
35,518,345.9,85.3,70.1,16.7,187.5,6.02,815.5,815.5,0.36,16%,14%,3%,1.162%,685,39.1,
36,500,275,150,50,25,190,6.25,808.4,808.4,0.38,30%,10%,5%,1.250%,815,36.4,
37,518,290.9,121.9,70.1,35.1,187.5,6.02,806.4,806.4,0.36,24%,14%,7%,1.162%,660,48.3,
38,518,309.2,121.9,70.1,16.7,187.5,6.02,809.4,809.4,0.36,24%,14%,3%,1.162%,760,35.9,
39,482,338.9,79.3,31.1,32.6,174.5,6.45,847.2,847.2,0.36,16%,6%,7%,1.338%,550,59,
40,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,675,33,
41,482,338.9,79.3,31.1,32.6,174.5,5.6,848.1,848.1,0.36,16%,6%,7%,1.162%,500,59.7,
42,500,275,100,100,25,190,6.25,814.1,814.1,0.38,20%,20%,5%,1.250%,700,29.7,
43,482,321.8,79.3,65.3,15.6,174.5,5.6,849.1,849.1,0.36,16%,14%,3%,1.162%,600,35.8,
44,518,290.9,121.9,70.1,35.1,206.2,6.02,782.2,782.2,0.40,24%,14%,7%,1.162%,770,41,
45,500,350,100,50,0,190,6.25,820.8,820.8,0.38,20%,10%,0%,1.250%,850,20.9,
46,518,382.5,85.3,33.5,16.7,187.5,6.02,817.4,817.4,0.36,16%,6%,3%,1.162%,690,48.2,
47,518,382.5,85.3,33.5,16.7,206.2,6.93,792.1,792.1,0.40,16%,6%,3%,1.338%,850,40.2,
48,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,690,41.6,
49,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,700,43.7,
50,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,690,39.9,
51,500,325,100,50,25,215.5,6.25,783.6,783.6,0.43,20%,10%,5%,1.250%,910,26,
52,518,290.9,121.9,70.1,35.1,206.2,6.93,781.2,781.2,0.40,24%,14%,7%,1.338%,820,40.3,
53,518,364.2,85.3,33.5,35.1,206.2,6.93,789.1,789.1,0.40,16%,6%,7%,1.338%,780,50.5,
54,518,327.5,85.3,70.1,35.1,206.2,6.02,788.2,788.2,0.40,16%,14%,7%,1.162%,695,44,
55,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,710,42.9,
56,518,364.2,85.3,33.5,35.1,187.5,6.02,814.3,814.3,0.36,16%,6%,7%,1.162%,605,60.6,
57,500,375,100,0,25,190,6.25,819.2,819.2,0.38,20%,0%,5%,1.250%,720,49.5,
58,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,680,37.6,
59,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,710,41.9,
60,482,321.8,113.5,31.1,15.6,174.5,6.45,844.4,844.4,0.36,24%,6%,3%,1.338%,725,39.1,
61,482,287.7,113.5,65.3,15.6,191.8,6.45,820,820,0.40,24%,14%,3%,1.338%,830,22.4,
62,482,304.8,79.3,65.3,32.6,191.8,5.6,823.8,823.8,0.40,16%,14%,7%,1.162%,605,46.2,
63,482,287.7,113.5,65.3,15.6,191.8,5.6,821,821,0.40,24%,14%,3%,1.162%,780,21,
64,482,321.8,79.3,65.3,15.6,174.5,6.45,848.2,848.2,0.36,16%,14%,3%,1.338%,645,37.2,
65,482,356,79.3,31.1,15.6,191.8,6.45,827.4,827.4,0.40,16%,6%,3%,1.338%,765,37.1,
66,518,382.5,85.3,33.5,16.7,187.5,6.93,816.4,816.4,0.36,16%,6%,3%,1.338%,740,47.4,
67,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,700,40.9,
68,500,325,100,50,25,190,6.25,816.7,816.7,0.38,20%,10%,5%,1.250%,710,38.7,
69,482,304.8,79.3,65.3,32.6,191.8,6.45,822.9,822.9,0.40,16%,14%,7%,1.338%,660,42.4,
70,482,356,79.3,31.1,15.6,174.5,6.45,850,850,0.36,16%,6%,3%,1.338%,650,44.3,
71,482,287.7,113.5,65.3,15.6,174.5,5.6,843.5,843.5,0.36,24%,14%,3%,1.162%,770,32.7,
72,482,287.7,113.5,65.3,15.6,174.5,6.45,842.6,842.6,0.36,24%,14%,3%,1.338%,720,31.9,
73,482,321.8,113.5,31.1,15.6,191.8,5.6,822.7,822.7,0.40,24%,6%,3%,1.162%,785,30.4,
74,518,327.5,121.9,33.5,35.1,187.5,6.02,808.3,808.3,0.36,24%,6%,7%,1.162%,660,55.4,
75,518,309.2,121.9,70.1,16.7,187.5,6.93,808.4,808.4,0.36,24%,14%,3%,1.338%,810,35.1,
76,500,325,100,50,25,190,7.5,815.3,815.3,0.38,20%,10%,5%,1.500%,785,43.7,
77,482,304.8,113.5,31.1,32.6,174.5,6.45,841.5,841.5,0.36,24%,6%,7%,1.338%,625,53.7,
78,482,356,79.3,31.1,15.6,174.5,5.6,850.9,850.9,0.36,16%,6%,3%,1.162%,600,41.7,
79,482,304.8,113.5,31.1,32.6,191.8,5.6,819.9,819.9,0.40,24%,6%,7%,1.162%,685,42.7,
80,482,304.8,79.3,65.3,32.6,174.5,5.6,846.3,846.3,0.36,16%,14%,7%,1.162%,400,33.3,
81,500,325,100,50,25,190,5,818,818,0.38,20%,10%,5%,1.000%,635,39.5,
82,482,270.6,113.5,65.3,32.6,191.8,6.45,817.2,817.2,0.40,24%,14%,7%,1.338%,635,34.9,
83,518,364.2,85.3,33.5,35.1,187.5,6.93,813.4,813.4,0.36,16%,6%,7%,1.338%,640,62.2,
84,500,325,100,50,25,165,6.25,849.2,849.2,0.33,20%,10%,5%,1.250%,560,50.6,
