item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
1,A2923,51,CEM I,CEM I,32.5R,1,300,,0,,0,180,0.6,,0,,0,28.336
2,A2923,52,CEM I with fly_ash_lignite(brown coal),CEM I,32.5R,1,270,fly_ash_lignite(brown coal),67.5,,0,180,0.61,,0,,0,27.232
3,A2923,53,CEM I,CEM I,42.5R,1,300,,0,,0,180,0.6,,0,,0,36.524
4,A2923,54,CEM I with fly_ash_lignite(brown coal),CEM I,42.5R,1,270,fly_ash_lignite(brown coal),67.5,,0,180,0.61,,0,,0,35.144
5,A2923,55,CEM III/A,CEM III/A,32.5N,0.5,300,,0,,0,180,0.6,,0,,0,27.232
6,A2923,56,CEM III/A with fly_ash_lignite(brown coal),CEM III/A,32.5N,0.5,270,fly_ash_lignite(brown coal),67.5,,0,180,0.61,,0,,0,27.14
7,5020,1,CEM I,CEM I,32.5R,1,300,,0,,0,180,0.6,,0,,0,41.952
8,5020,2,CEM III/A,CEM III/A,32.5R,0.46,300,,0,,0,180,0.6,,0,,0,36.892
9,5020,3,CEM III/B,CEM III/B,32.5N,0.34,300,,0,,0,180,0.6,,0,,0,26.772
10,5020,7,CEM I,CEM I,32.5R,1,270,,0,,0,180,0.67,,0,,0,34.868
11,5020,8,CEM III/A,CEM III/A,32.5R,0.46,270,,0,,0,180,0.67,,0,,0,29.44
12,5020,9,CEM III/B,CEM III/B,32.5N,0.34,270,,0,,0,180,0.67,,0,,0,25.484
13,5020,10 (FA1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,34.684
14,5020,11 (FA1),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,31.556
15,5020,12 (FA1),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,28.52
16,5020,13 (FA2),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,35.236
17,5020,14 (FA2),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,31.556
18,5020,15 (FA2),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,24.932
19,5020,16 (FA3),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,36.524
20,5020,17 (FA3),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,30.636
21,5020,18 (FA3),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,270,fly_ash_bituminous_coal,30,,0,180,0.64,,0,,0,29.716
22,5020,19 (FA1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,31.464
23,5020,20 (FA1),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,25.944
24,5020,21 (FA1),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,18.952
25,5020,22 (FA2),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,34.868
26,5020,23 (FA2),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,33.764
27,5020,24 (FA2),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,25.944
28,5020,25 (FA3),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,33.212
29,5020,26 (FA3),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,25.944
30,5020,27 (FA3),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,27.324
31,5020,28 (FA1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,23.92
32,5020,29 (FA1),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,25.668
33,5020,30 (FA1),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,27.784
34,5020,31 (FA2),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,29.624
35,5020,32 (FA2),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,26.772
36,5020,33 (FA2),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,23
37,5020,34 (FA3),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,25.576
38,5020,35 (FA3),CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5R,0.46,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,23.644
39,5020,36 (FA3),CEM III/B with fly_ash_bituminous_coal,CEM III/B,32.5N,0.34,240,fly_ash_bituminous_coal,30,,0,180,0.71,,0,,0,24.38
40,F236F323,Z1 Ref1,CEM I,CEM I,32.5R,1,270,,0,,0,162,0.6,,0,,0,32.292
41,F236F323,Z1 Ref2,CEM I,CEM I,32.5R,1,300,,0,,0,180,0.6,,0,,0,30.82
42,F236F323,Z2 Ref1,CEM I,CEM I,32.5R,1,270,,0,,0,162,0.6,,0,,0,31.464
43,F236F323,Z2 Ref2,CEM I,CEM I,32.5R,1,300,,0,,0,180,0.6,,0,,0,28.888
44,F236F323,Z3 Ref1,CEM I,CEM I,42.5R,1,270,,0,,0,162,0.6,,0,,0,40.02
45,F236F323,Z3 Ref2,CEM I,CEM I,42.5R,1,300,,0,,0,180,0.6,,0,,0,37.168
46,F236F323,Z4 Ref1,CEM II/ALL,CEM II/ALL,32.5R,0.82,270,,0,,0,162,0.6,,0,,0,35.328
47,F236F323,Z4 Ref2,CEM II/ALL,CEM II/ALL,32.5R,0.82,300,,0,,0,180,0.6,,0,,0,31.556
48,F236F323,Z5 Ref2,CEM II/BS,CEM II/BS,32.5R,0.74,300,,0,,0,180,0.6,,0,,0,33.304
49,F236F323,Z6 Ref2,CEM III/A,CEM III/A,32.5N,0.5,300,,0,,0,180,0.6,,0,,0,30.268
50,F236F323,Z6Ref3,CEM III/A,CEM III/A,32.5N,0.5,280,,0,,0,154,0.55,,0,,0,37.076
51,F236F323,Z6Ref4,CEM III/A,CEM III/A,32.5N,0.5,330,,0,,0,181.5,0.55,,0,,0,35.88
52,F236F323,Z6Ref5,CEM III/A,CEM III/A,32.5N,0.5,300,,0,,0,180,0.6,,0,,0,31.004
53,F236F323,Z6Ref6,CEM III/A,CEM III/A,32.5N,0.5,260,,0,,0,169,0.65,,0,,0,27.784
54,F236F323,Z7 Ref2,CEM III/A,CEM III/A,32.5N,0.5,300,,0,,0,180,0.6,,0,,0,25.76
55,F236F323,Z8 Ref2,CEM III/B,CEM III/B,32.5N,0.23,300,,0,,0,180,0.6,,0,,0,30.544
