reference_no,study_number,mix_number,author,year,specimen_code,Cement (kg/m3),fly_ash_kg_m3,ggbfs_kg_m3,silica_fume_kg_m3,kaolin_kgm3,other_scm1_kg_m3,other_scm1_type,other_scm2_kg_m3,other_scm2_type,nca_kg_m3,rca_kg_m3,nfa_kg_m3,rca_volume_ratio_%,water_kg_m3,added_water_kg_m3,superplasticizer_kg_m3,water_eff_kg_m3,wbr_total,b_coarseagg_ratio,binder_fineagg_ratio,nca1_sg,nca1_nms_mm,nca1_material_type,nca1_crushing_index_pct,nca1_la_abrasion_pct,nca1_fineness_modulus,nca1_w_abs_pct,nca2_sg,nca2_nms_mm,nca2_material_type,nca2_crushing_index_pct,nca2_la_abrasion_pct,nca2_fineness_modulus,nca2_w_abs_pct,rca1_sg,rca1_nms_mm,rca1_material_type,rca1_crushing_index_pct,rca1_la_abrasion_pct,rca1_fineness_modulus,rca1_w_abs_pct,rca2_sg,rca2_nms_mm,rca2_material_type,rca2_crushing_index_pct,rca2_la_abrasion_pct,rca2_fineness_modulus,rca2_w_abs_pct,nfa1_sg,nfa1_nms_mm,nfa1_material_type,nfa1_crushing_index_pct,nfa1_la_abrasion_pct,nfa1_fineness_modulus,nfa1_w_abs_pct,nfa2_sg,nfa2_nms_mm,nfa2_material_type,nfa2_crushing_index_pct,nfa2_la_abrasion_pct,nfa2_fineness_modulus,nfa2_w_abs_pct,reactivity_modulus,silica_modulus,alumina_modulus,cube_dimension,fc_cube_1d_mpa,fc_cube_3d_mpa,fc_cube_7d_mpa,fc_cube_14d_mpa,fc_cube_21d_mpa,fc_cube_28d_mpa,fc_cube_56d_mpa,fc_cube_90d_mpa,fc_cube_180d_mpa,cyl_dia_mm,cyl_height_mm,fc_cyl_1d_mpa,fc_cyl_3d_mpa,fc_cyl_7d_mpa,fc_cyl_14d_mpa,fc_cyl_21d_mpa,fc_cyl_28d_mpa,fc_cyl_56d_mpa,fc_cyl_90d_mpa,fc_cyl_180d_mpa
[44],1,1,Kou ,2006,R0,410,0,,,,,,,,1048,0,642,0%,225,,,225,0.55,0.39,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,12.8,23.3,30.2,,,48.6,,52.7,,,,,,,,,,,,
[44],1,2,Kou ,2006,R20,410,0,,,,,,,,840,204,642,20%,225,,,225,0.55,0.39,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,11.9,22.4,29.1,,,45.3,,50.8,,,,,,,,,,,,
[44],1,3,Kou ,2006,R50,410,0,,,,,,,,524,506,642,50%,225,,,225,0.55,0.4,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,11.6,21.8,27.6,,,42.5,,49.5,,,,,,,,,,,,
[44],1,4,Kou ,2006,R100,410,0,,,,,,,,0,1017,642,100%,225,,,225,0.55,0.4,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,10.2,18.6,24.4,,,38.1,,45.5,,,,,,,,,,,,
[44],1,5,Kou ,2006,r-R0,307.5,102.5,,,,,,,,1048,0,611,0%,225,,,225,0.55,0.39,0.67,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,12.1,22.8,28.6,,,43.6,,57.9,,,,,,,,,,,,
[44],1,6,Kou ,2006,r-R20F25,307.5,102.5,,,,,,,,840,204,611,20%,225,,,225,0.55,0.39,0.67,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,11.5,24.3,32.8,,,42.8,,57.3,,,,,,,,,,,,
[44],1,7,Kou ,2006,r-R50F25,307.5,102.5,,,,,,,,524,506,611,50%,225,,,225,0.55,0.4,0.67,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,11.1,22.9,30.4,,,41.7,,53.4,,,,,,,,,,,,
[44],1,8,Kou ,2006,r-R100F25,307.5,102.5,,,,,,,,0,1017,611,100%,225,,,225,0.55,0.4,0.67,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,9.4,19.1,25.1,,,36.8,,50.1,,,,,,,,,,,,
[44],1,9,Kou ,2006,r-R0F35,266.5,143.5,,,,,,,,1048,0,598,0%,225,,,225,0.55,0.39,0.69,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,7.7,16.6,22.5,,,40.7,,47.8,,,,,,,,,,,,
[44],1,10,Kou ,2006,r-R20F35,266.5,143.5,,,,,,,,840,204,598,20%,225,,,225,0.55,0.39,0.69,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,6.6,16.4,20.9,,,41,,46.6,,,,,,,,,,,,
[44],1,11,Kou ,2006,r-R50F35,266.5,143.5,,,,,,,,524,506,598,50%,225,,,225,0.55,0.4,0.69,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,5.9,15.2,20.4,,,37.1,,43.2,,,,,,,,,,,,
[44],1,12,Kou ,2006,r-R100F35,266.5,143.5,,,,,,,,0,1017,598,100%,225,,,225,0.55,0.4,0.69,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,4.8,14.6,19.4,,,25.2,,37.4,,,,,,,,,,,,
[44],1,13,Kou ,2006,R0,400,0,,,,,,,,1108,0,708,0%,180,,,180,0.45,0.36,0.56,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,25.8,45.8,53.8,,,66.8,,72.3,,,,,,,,,,,,
[44],1,14,Kou ,2006,R20,400,0,,,,,,,,886,215,708,20%,180,,,180,0.45,0.36,0.56,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,23.6,43.2,51.2,,,62.4,,68,,,,,,,,,,,,
[44],1,15,Kou ,2006,R50,400,0,,,,,,,,554,538,708,50%,180,,,180,0.45,0.37,0.56,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,21.1,40.3,44.8,,,55.8,,61.5,,,,,,,,,,,,
[44],1,16,Kou ,2006,R100,400,0,,,,,,,,0,1075,708,100%,180,,,180,0.45,0.37,0.56,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,15.5,26.8,36.2,,,42,,50.2,,,,,,,,,,,,
[44],1,17,Kou ,2006,r-R0,300,100,,,,,,,,1108,0,688,0%,180,,,180,0.45,0.36,0.58,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,17.6,32.6,39.9,,,54.4,,69,,,,,,,,,,,,
[44],1,18,Kou ,2006,r-R20F25,300,100,,,,,,,,886,215,688,20%,180,,,180,0.45,0.36,0.58,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,13.2,28.9,34.1,,,49.7,,68.7,,,,,,,,,,,,
