reference_no,study_no,Authors,year of study,Type of binder,SiO2 - Chemical compostion (w.r. %),Al2O3 - Chemical compostion (w.r. %),Fe2O3 - Chemical compostion (w.r. %),CaO - Chemical compostion (w.r. %),MgO - Chemical compostion (w.r. %),Na2O - Chemical compostion (w.r. %),K2O - Chemical compostion (w.r. %),SO3 - Chemical compostion (w.r. %),TiO2 - Chemical compostion (w.r. %),P2O5 - Chemical compostion (w.r. %),SrO - Chemical compostion (w.r. %),Mn2O3 - Chemical compostion (w.r. %),LOI - Chemical compostion (w.r. %),blaine_fineness_ssa_m2_kg,d50-median_particle_size_mm,Reactivity_modulus,silica_modulus,alumina_modulus,specific_gravity
[44],1,Kou ,2006,OPC,19.61,7.33,3.32,63.15,2.54,,,2.54,,,,,,352,,3.72,1.84,2.21,3.16
[44],1,Kou ,2006,FA,56.79,28.21,5.31,3,5.21,,,0.68,,,,,,396,,0.64,1.69,5.31,2.31
[45],2,Kou et al.,2007,OPC,19.61,7.33,3.32,63.15,2.54,,,2.13,,,,,,352,,3.72,1.84,2.21,3.16
[45],2,Kou et al.,2007,FA,56.79,28.21,5.31,3,5.21,,,0.68,,,,,,396,,0.64,1.69,5.31,2.31
[46],3,Poon et al. ,2007,OPC,19.61,7.33,3.32,63.15,2.54,,,2.13,,,,,,352,,3.72,1.84,2.21,3.16
[46],3,Poon et al. ,2007,FA,56.79,28.21,5.31,3,5.21,,,0.68,,,,,,396,,0.64,1.69,5.31,2.31
[47],4,Ann et al.,2008,OPC,20.5,6.4,2.9,61.4,3,1.2,,2.1,,,,,,,,3.45,2.20,2.21,
[47],4,Ann et al.,2008,FA,55,21.1,10.9,4.22,1.2,1,,0.06,,,,,,,,0.48,1.72,1.94,
[47],4,Ann et al.,2008,GGBFS,44.2,14,0.8,33.5,4.9,0.9,,1.4,,,,,,,,1.19,2.99,17.50,
[48],5,Kou et al.,2008,OPC,19.61,7.33,3.32,63.15,2.54,,,2.13,,,,,,352,,3.72,1.84,2.21,3.16
[48],5,Kou et al.,2008,FA,56.79,28.21,5.31,3,5.21,,,0.68,,,,,,396,,0.64,1.69,5.31,2.31
[49],6,Tangchirapat et al.,2008,OPC,20.9,4.7,3.4,65.4,1.2,0.2,0.3,2.7,,,,,,,14.6,3.41,2.58,1.38,
[49],6,Tangchirapat et al.,2008,RHA,74.8,0.2,0.8,5.9,0.5,0.1,2,0.4,,,,,,,10.8,0.09,74.80,0.25,
[50],7,Berndt,2009,OPC,20.8,4.61,2.59,63.25,4.17,0.16,0.5,2.7,,,,,,364,,3.46,2.89,1.78,3.15
[50],7,Berndt,2009,FA,47.58,26.42,12.19,5.54,0.9,1.5,1.9,1.08,,,,,,341,,0.69,1.23,2.17,2.35
[50],7,Berndt,2009,GGBFS,38,7.52,0.31,39.84,10.54,0.32,0.38,0.16,,,,,,554,,1.52,4.85,24.26,3
[51],8,Tangchirapat et al.,2009,OPC,20.9,4.7,3.4,65.4,1.2,0.2,0.3,2.7,,,,,,,14.6,3.41,2.58,1.38,3.15
[51],8,Tangchirapat et al.,2009,FA,41.9,21.5,12.7,13.9,2.6,2.7,2.5,0.6,,,,,,,7.7,0.91,1.23,1.69,2.72
[52],9,Kou et al.,2011,OPC,21,5.9,3.4,64.7,0.9,,,2.6,,,,,,352,,3.40,2.26,1.74,3.15
[52],9,Kou et al.,2011,FA,56.79,28.21,5.31,3,5.21,,,0.68,,,,,,396,,0.64,1.69,5.31,2.31
[52],9,Kou et al.,2011,GGBFS,44.6,13.3,0.9,33.8,4.8,1,,1.3,,,,,,535,,1.16,3.14,14.78,2.98
[52],9,Kou et al.,2011,SF,94,0.1,0.1,0.1,0.4,0.1,0.9,1.3,0.3,,,,,1865,,0.01,470.00,1.00,2.22
[52],9,Kou et al.,2011,MK,53.2,43.9,0.38,0.02,0.05,0.17,0.1,,1.68,,,,,1268,,0.83,1.20,115.53,2.62
[53],10,Corinaldesi,2012,OPC,29.67,3.74,1.8,59.25,1.15,0.26,0.79,3.25,,,,,,410,,2.16,5.36,2.08,3.15
[53],10,Corinaldesi,2012,FA,59.94,22.87,4.67,3.08,1.55,0.62,2.19,0.35,,,,,,520,,0.46,2.18,4.90,2.25
[54],11,Corral et al.,2012,OPC,19.94,4.4,2.97,63.5,0.1,0.12,0.42,3.08,,,,,,1400,,3.41,2.71,1.48,3.15
[54],11,Corral et al.,2012,FA,58.84,16.72,3.52,7.35,1.76,0.94,0.79,0.13,,,,,,1200,,0.44,2.91,4.75,2.35
[54],11,Corral et al.,2012,SF,95.22,0.08,2.37,0.26,0.24,0.3,0.56,0.11,,,,,,19600,,0.01,38.87,0.03,2.27
[55],12,Limbachiya et al. ,2012,OPC,21.4,4.7,2.7,65.2,1,0.13,0.64,2.9,,,,,,,,3.31,2.89,1.74,
[55],12,Limbachiya et al. ,2012,SF,96,0.5,0.42,0.3,0.87,0.15,0.41,0.25,,,,,,,,0.02,104.35,1.19,
[56],13,Limbachiya et al. ,2012,OPC,21.4,4.7,2.7,65.2,1,0.13,0.64,2.9,,,,,,,350,3.31,2.89,1.74,3.14
[56],13,Limbachiya et al. ,2012,FA,50.4,28,9,6,28,0.9,2.5,0.4,,,,,,,280,1.23,1.36,3.11,2.4
[57],14,Somna et al.,2012,OPC,20.9,4.8,3.4,65.4,1.3,0.3,0.4,2.7,,,,,,,14.7,3.42,2.55,1.41,3.14
[57],14,Somna et al.,2012,BA,55,5.1,4.1,11,0.9,0.2,1.2,2.2,,,,,,,5.6,0.31,5.98,1.24,2.27
[58],15,Somna et al.,2012,OPC,20.9,4.8,3.4,65.4,1.3,0.3,0.4,2.7,,,,,,,14.7,3.42,2.55,1.41,3.14
[58],15,Somna et al.,2012,FA,45.5,16.8,6,20.9,1.2,,,4,,0.3,,,,,4.5,0.85,2.00,2.80,2.42
[58],15,Somna et al.,2012,BA,59.9,4.7,3.1,10.5,1.3,,,0.04,,0.91,,,,,5.6,0.28,7.68,1.52,2.27
[59],16,Somna et al.,2012,OPC,20.9,4.8,3.4,65.4,1.3,0.3,0.4,2.7,,,,,,,14.7,3.42,2.55,1.41,3.14
[59],16,Somna et al.,2012,FA,45.5,16.8,6,20.9,1.2,,,4,,0.3,,,,,4.5,0.85,2.00,2.80,2.42
[60],17,Tangchirapat et al.,2012,OPC,20.9,4.7,3.4,65.4,1.2,0.2,0.3,2.7,,,,,,,14.6,3.41,2.58,1.38,3.14
[60],17,Tangchirapat et al.,2012,POFA,55.5,9.2,5.6,12.4,4.6,0,0,2.3,,,,,,,10.7,0.47,3.75,1.64,2.53
[61],18,Ahmed,2013,OPC,21.1,4.7,2.7,63.6,2.6,0.5,,2.5,,,,,,,,3.36,2.85,1.74,3.11
[61],18,Ahmed,2013,FA,50.5,26.57,13.77,2.13,1.54,0.45,0.77,0.41,,,,,,,,0.60,1.25,1.93,2.1
[62],19,Alam et al.,2013,OPC,22.8,4.7,4.9,62.3,2.3,0.6,,,,,,,,,,3.04,2.38,0.96,3.15
[62],19,Alam et al.,2013,FA,58.6,25.7,4.1,1.4,1.3,0.5,2,,,,,,,,,0.48,1.97,6.27,2.1
[62],19,Alam et al.,2013,GGBFS,34.3,19.1,1.91,40.8,8.9,,,,,,,,,,,2.01,1.63,10.00,3.1
[63],20,Hwang et al.,2013,OPC,18.5,6.4,2.9,65.4,3.1,1.2,,2.1,,,,,,,,4.05,1.99,2.21,3.12
[63],20,Hwang et al.,2013,FA,56.3,21.1,11.9,7.2,1.2,1.5,,0.4,,,,,,,,0.52,1.71,1.77,2.19
[63],20,Hwang et al.,2013,GGBFS,44.2,16.5,0.8,33.5,2.8,0.8,,1.1,,,,,,,,1.19,2.55,20.63,2.89
[64],21,Ismail and Ramli,2013,OPC,16,3.6,2.9,72,1.5,,,3.1,,,,,,1043,,4.82,2.46,1.24,3.02
[65],22,Saravanakumar and Dhinakaran,2013,OPC,24.5,7,0.55,63,2,0.4,0.6,1.5,,,,,,,,2.94,3.25,12.73,3.12
[65],22,Saravanakumar and Dhinakaran,2013,FA,56.6,33.71,3.97,1.07,0.42,0.16,1.02,0.18,,,,,,,,0.62,1.50,8.49,2.1
[66],23,Sucic,2013,OPC,19.9,5.22,2.73,63.3,2.64,0.24,1.2,0.24,0.27,0.14,4.7,,,,,3.58,2.50,1.91,3.12
[66],23,Sucic,2013,FA,55.7,27.4,5.59,4.43,1.56,0.44,2.29,0.44,0.67,0.31,0.26,,,,,0.60,1.69,4.90,2.1
