material_id,class_code,old_subtype_code,old_specific_name,new_subtype_code,new_specific_name
44,ADM,accelerator,accelerator,ACC,Accelerator
32,ADM,air_entrainer,air_entrainer,AE,Air Entrainer
46,ADM,sp___air_entrainer,sp___air_entrainer,AE,Air Entrainer
50,ADM,retarder,retarder,RET,Retarder
7,ADM,superplasticizer,Superplasticizer (HRWR),SP,Superplasticizer (HRWR)
26,ADM,,ADM 1,,ADM 1
8,AGGR_C,natural_coarse_aggregate,Natural Coarse Aggregate,NCA,Natural Coarse Aggregate
16,AGGR_C,nca,Natural Coarse Aggregate,NCA,Natural Coarse Aggregate
15,AGGR_C,RCA,Recycled Coarse Aggregate,RCA,Recycled Coarse Aggregate
9,AGGR_F,natural_fine_aggregate,Natural Fine Aggregate,NFA,Natural Fine Aggregate
14,AGGR_F,nfa,Natural Fine Aggregate,NFA,Natural Fine Aggregate
3,CEMENT,CEM I,CEM I,CEM I,CEM I
23,CEMENT,cem_i,cem_i,CEM I,CEM I
53,CEMENT,portland_cement,Portland Cement,CEM I,Portland Cement (CEM I)
29,CEMENT,cem_ii/all,cem_ii/all,CEM/II/ALL,CEM/II/ALL
49,CEMENT,cem_ii/am__sll_,cem_ii/am__sll_,CEM/II/AM//SLL/,CEM/II/AM//SLL/
43,CEMENT,cem_ii/as,cem_ii/as,CEM/II/AS,CEM/II/AS
39,CEMENT,cem_ii/bll,cem_ii/bll,CEM/II/BLL,CEM/II/BLL
35,CEMENT,cem_ii/bm__sll_,cem_ii/bm__sll_,CEM/II/BM//SLL/,CEM/II/BM//SLL/
41,CEMENT,cem_ii/bm__vll_,cem_ii/bm__vll_,CEM/II/BM//VLL/,CEM/II/BM//VLL/
30,CEMENT,cem_ii/bs,cem_ii/bs,CEM/II/BS,CEM/II/BS
37,CEMENT,cem_ii/bv,cem_ii/bv,CEM/II/BV,CEM/II/BV
40,CEMENT,cem_ii/cm__sll_,cem_ii/cm__sll_,CEM/II/CM//SLL/,CEM/II/CM//SLL/
42,CEMENT,cem_ii/cm__vll_,cem_ii/cm__vll_,CEM/II/CM//VLL/,CEM/II/CM//VLL/
27,CEMENT,cem_iii/a,cem_iii/a,CEM/III/A,CEM/III/A
28,CEMENT,cem_iii/b,cem_iii/b,CEM/III/B,CEM/III/B
38,CEMENT,cem_iii/c,CEM III/C (Blastfurnace Cement),CEM/III/C,CEM/III/C
72,SCM,ba,ba,ba,ba
47,SCM,calcined_fly_ash,Calcined Fly Ash,calcined_fly_ash,Calcined Fly Ash
5,SCM,fly_ash,Fly Ash (General),FA,Fly Ash (General)
52,SCM,fly_ash_bituminous,Fly Ash - Bituminous Coal (Class F),FA-B,Fly Ash - Bituminous (Class F)
51,SCM,fly_ash_lignite,Fly Ash - Lignite/Brown Coal (Class F),FA-L,Fly Ash - Lignite (Class F)
75,SCM,fluidized_fly_ash,fluidized_fly_ash,FFA,Fluidized Fly Ash
4,SCM,ggbs,Ground-granulated Blast-furnace Slag,GGBS,Ground-granulated Blast-furnace Slag
21,SCM,limestone_powder,Limestone Powder (Filler),LP,Limestone Powder (Filler)
48,SCM,calcined_clay,Calcined Clay (Metakaolin),MK,Calcined Clay (Metakaolin)
36,SCM,natural_pozzolan,Natural Pozzolan,NP,Natural Pozzolan
76,SCM,natural_zeolite,natural_zeolite,NZ,Natural Zeolite
73,SCM,pofa,Palm Oil Fly Ash,POFA,Palm Oil Fly Ash
69,SCM,rha,Rice Husk Ash,RHA,Rice Husk Ash
77,SCM,SCM1,dosage_kg_m3,SCM1,dosage_kg_m3
31,SCM,silica_fume,Silica Fume,SF,Silica Fume
54,SCM,specific_name,OPC,specific_name,OPC
24,SCM,,SCM 1,,SCM 1
6,WATER,water,Water,WATER,Water
13,WATER,WATER,Water,WATER,Water
68,WATER,ADDED_WATER,dosage_kg_m3,WATER,Water
