phase,material_id,class_code,coalesce,coalesce
after,4,SCM,ggbs,ggbs
after,5,SCM,fa,fly ash
after,6,WATER,(null),water
after,7,ADM,sp,superplasticizer
after,8,AGGR_C,(null),nca
after,9,AGGR_F,(null),nfa
after,13,WATER,water,water
after,14,AGGR_F,nfa,natural fine aggregate
after,15,AGGR_C,rca,recycled coarse aggregate
after,16,AGGR_C,nca,natural coarse aggregate
after,17,SCM,fly ash,fly ash
after,19,SCM,bfs,ggbs
after,20,ADM,pce,superplasticizer
after,21,SCM,limestone powder,limestone powder
after,22,ADM,superplasticizer,superplasticizer
after,24,SCM,(null),scm 1
after,25,WATER,water,water
after,26,ADM,(null),adm 1
after,31,SCM,sf,sf
after,32,ADM,air_entrainer,air_entrainer
after,34,ADM,sp,sp
after,38,SCM,iii/c,iii/c
after,44,ADM,accelerator,accelerator
after,45,SCM,fa,fa
after,46,ADM,sp___air_entrainer,sp___air_entrainer
after,47,SCM,cfa,cfa
after,48,SCM,cc,cc
after,50,ADM,retarder,retarder
after,51,SCM,fly_ash_lignite_brown_coal_,fly_ash_lignite_brown_coal_
after,52,SCM,fly_ash_bituminous_coal,fly_ash_bituminous_coal
after,54,SCM,specific_name,opc
after,53,CEMENT,(null),portland cement
after,68,WATER,added_water,dosage_kg_m3
after,70,SCM,sf,dosage_kg_m3
after,71,SCM,mk,dosage_kg_m3
after,72,SCM,ba,ba
after,73,SCM,pofa,pofa
after,74,SCM,pocp,pocp
after,75,SCM,fluidized_fly_ash,fluidized_fly_ash
after,76,SCM,natural_zeolite,natural_zeolite
after,77,SCM,scm1,dosage_kg_m3
after,82,SCM,calcined_clay,calcined clay (metakaolin)
after,69,SCM,rha,rice husk ash
after,3,CEMENT,cem i,cem i
after,23,CEMENT,cem_i,cem_i
after,27,CEMENT,cem_iii/a,cem_iii/a
after,28,CEMENT,cem_iii/b,cem_iii/b
after,29,CEMENT,cem_ii/all,cem_ii/all
after,30,CEMENT,cem_ii/bs,cem_ii/bs
after,35,CEMENT,cem_ii/bm__sll_,cem_ii/bm__sll_
after,37,CEMENT,cem_ii/bv,cem_ii/bv
after,39,CEMENT,cem_ii/bll,cem_ii/bll
after,40,CEMENT,cem_ii/cm__sll_,cem_ii/cm__sll_
after,41,CEMENT,cem_ii/bm__vll_,cem_ii/bm__vll_
after,42,CEMENT,cem_ii/cm__vll_,cem_ii/cm__vll_
after,43,CEMENT,cem_ii/as,cem_ii/as
after,49,CEMENT,cem_ii/am__sll_,cem_ii/am__sll_
after,33,SCM,ggbfs,ggbs (ground-granulated bf slag)
after,78,SCM,fly_ash_bituminous,fly ash – bituminous coal (class f)
after,79,SCM,fly_ash_lignite,fly ash – lignite/brown coal (class f)
after,80,SCM,silica_fume,silica fume
after,81,SCM,limestone_powder,limestone powder (filler)
after,36,SCM,natural_pozzolan,natural pozzolan
