mix_code,issue_code,issue_description
1,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
2,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
3,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
4,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
5,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
6,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
7,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
8,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
9,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
10,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
11,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
12,LOW_COMPONENT_COUNT,Mix has only 4 components (expected >= 6)
13,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
14,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
15,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
16,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
17,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
18,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
19,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
20,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
21,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
22,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
23,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
24,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
25,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
26,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
27,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
28,LOW_COMPONENT_COUNT,Mix has only 5 components (expected >= 6)
